,0
POOL,10
MKC,6
AOS,5
AXP,7
CME,6
EQR,10
BKR,0
FDX,9
MET,1
MRK,0
MAA,10
ISRG,4
GOOGL,4
PEAK,6
CMCSA,8
TT,7
JPM,1
REGN,3
DHI,5
HUM,8
MDT,8
DIS,8
DE,5
F,7
C,1
EXC,2
SCHW,1
WYNN,4
PLD,6
AAL,5
DVN,3
AEE,2
AMZN,3
TDY,5
PENN,5
IP,5
OMC,8
VFC,8
MSCI,9
A,8
USB,1
UNH,0
IT,4
ETR,2
DVA,4
HSY,9
NEE,2
FFIV,0
BIIB,0
KO,6
MSI,8
KMB,6
FTNT,0
EL,9
ABC,0
CF,7
LKQ,5
TMUS,0
ABT,0
PSX,9
LMT,9
ESS,6
APD,9
PSA,6
AMAT,4
HCA,0
ORLY,8
KEY,1
KLAC,4
GL,5
PCAR,7
CBOE,5
PRU,1
FE,2
LEG,5
PHM,5
NOC,9
BBWI,10
MCK,0
CPB,9
KR,8
DGX,0
TJX,8
GRMN,5
PKG,5
FISV,9
OXY,7
FITB,1
CBRE,5
WAB,5
KMX,8
RSG,9
ADM,8
PEP,6
IRM,9
LOW,9
CL,5
TXT,5
MCO,3
DUK,2
NKE,8
PAYX,9
IFF,1
MSFT,4
CTRA,7
MA,3
PVH,5
TSN,6
DXC,8
VTRS,0
MTD,3
MLM,0
SO,2
ETN,7
STT,1
GD,5
CMS,2
SRE,2
MMC,9
AIZ,5
NOW,3
TGT,8
BRK-B,8
MRO,7
NXPI,9
WFC,1
EXR,6
NTAP,5
BDX,3
AJG,7
WY,7
EOG,7
XYL,10
PH,7
IPG,5
DLTR,8
TDG,4
LUV,5
AFL,10
AVGO,4
LLY,0
CAG,9
ODFL,5
ZBH,3
KMI,7
LUMN,8
PGR,10
ROL,5
PNC,1
DRE,10
EQIX,3
LRCX,4
VMC,0
TRMB,5
HPQ,5
ADP,9
ARE,10
PTC,4
HD,8
NSC,7
TXN,4
SEE,7
WRB,5
SBUX,9
ADBE,4
DAL,8
GPS,5
AMGN,3
JBHT,5
COF,1
NRG,4
CINF,10
WDC,0
NLSN,9
WU,8
NTRS,1
TEL,5
DLR,6
JKHY,8
K,6
EFX,9
APA,7
CAT,7
HIG,8
UHS,8
LH,6
RMD,8
TER,3
DTE,2
BR,9
GOOG,4
RF,1
BK,1
PPG,5
NEM,9
UDR,6
WM,9
JNPR,3
PFG,1
DPZ,0
BBY,8
GPC,9
ZBRA,3
MOS,7
AAP,9
MGM,8
XRAY,9
ULTA,8
BRO,7
BLL,3
SHW,8
EXPD,8
APTV,0
URI,7
AMCR,8
CCI,10
AKAM,3
AMP,0
PNR,5
VRSN,9
GM,7
HAL,7
SNA,5
PXD,7
AMT,4
TYL,4
HBAN,1
SWKS,4
CI,0
XEL,2
BF-B,0
HSIC,4
ALK,8
DOV,7
UAA,5
PG,6
SJM,9
CMA,1
ADI,4
ECL,9
GS,1
WHR,5
TRV,10
AVY,8
ADSK,4
UPS,9
MDLZ,9
PWR,7
SBAC,0
UAL,5
CDNS,3
MAS,9
BA,0
ROP,0
LDOS,10
IEX,10
GPN,3
PKI,0
BWA,0
YUM,5
ES,2
MKTX,4
UNP,7
FCX,7
RCL,3
CMI,0
JCI,5
PFE,3
EXPE,0
FRC,1
FIS,4
EMR,7
GLW,5
CNP,2
OKE,7
KIM,10
FBHS,5
DISH,0
AES,7
HON,5
EVRG,9
MTCH,4
TFX,6
GILD,0
CHRW,9
MO,6
REG,10
MMM,7
GIS,6
INTU,8
ROK,5
HOLX,3
LHX,3
COP,7
AME,9
MCD,8
PNW,2
COO,4
ILMN,4
PEG,2
GWW,10
O,10
HAS,8
ANSS,3
GE,8
RL,4
VZ,10
CSCO,9
CMG,10
AZO,9
VTR,6
EBAY,0
APH,5
BIO,4
CPRT,8
STE,3
DISCA,7
TAP,6
MPC,3
MPWR,4
NDAQ,9
NI,2
ORCL,4
CSX,7
PBCT,1
PM,10
ANTM,0
VRSK,9
DFS,1
CHD,9
DG,6
MCHP,3
TMO,0
EMN,7
RJF,1
JNJ,4
AWK,2
BMY,0
CVS,6
IVZ,5
ROST,9
NLOK,4
XOM,9
AMD,5
IPGP,0
ATVI,4
HST,5
TPR,5
TECH,3
WEC,2
NVDA,3
CLX,6
CHTR,4
HRL,6
L,10
FRT,10
BAC,1
CRM,3
WST,3
CTXS,4
EA,4
ENPH,1
WELL,6
BLK,10
V,4
ZION,1
CE,7
BXP,10
NWL,9
WBA,10
GNRC,0
WMT,8
FLT,3
SPG,10
ALB,7
WAT,4
HBI,0
DXCM,3
EIX,2
DISCK,7
CAH,3
VLO,9
HES,7
DD,7
FMC,7
LYB,7
SYK,4
WMB,0
FAST,7
MS,1
TROW,10
SWK,9
ABMD,0
CRL,0
VRTX,4
TSLA,0
CB,9
VNO,10
T,10
INCY,8
EW,8
MHK,8
CCL,8
ATO,2
IDXX,3
DRI,5
NUE,7
SYY,10
MNST,3
STZ,6
FANG,7
RHI,5
DHR,9
ICE,9
AAPL,3
CTAS,9
D,2
ACN,3
IBM,7
INTC,9
BKNG,8
COST,5
AON,9
STX,0
ED,2
LEN,5
NFLX,8
HII,3
ALL,3
ITW,7
BSX,4
CNC,0
ALGN,3
SLB,7
RE,9
TTWO,4
SIVB,1
QCOM,7
MTB,1
AVB,10
NVR,5
LYV,3
LVS,7
