,0
POOL,8
MKC,6
AOS,7
AXP,9
CME,6
EQR,10
BKR,4
FDX,2
MET,2
MRK,5
MAA,10
ISRG,10
GOOGL,0
PEAK,0
CMCSA,7
TT,1
JPM,2
REGN,5
DHI,7
HUM,5
MDT,8
DIS,10
DE,8
F,9
C,2
EXC,3
SCHW,2
WYNN,9
PLD,0
AAL,9
DVN,4
AEE,3
AMZN,0
TDY,8
PENN,8
IP,8
OMC,8
VFC,1
MSCI,7
A,5
USB,2
UNH,5
IT,7
ETR,3
DVA,0
HSY,8
NEE,3
FFIV,1
BIIB,5
KO,10
MSI,5
KMB,6
FTNT,1
EL,5
ABC,5
CF,8
LKQ,0
TMUS,7
ABT,0
PSX,4
LMT,5
ESS,10
APD,1
PSA,10
AMAT,8
HCA,5
ORLY,7
KEY,2
KLAC,8
GL,2
PCAR,1
CBOE,10
PRU,10
FE,3
LEG,7
PHM,7
NOC,10
BBWI,0
MCK,6
CPB,6
KR,5
DGX,5
TJX,0
GRMN,9
PKG,9
FISV,10
OXY,4
FITB,2
CBRE,0
WAB,8
KMX,5
RSG,6
ADM,1
PEP,6
IRM,10
LOW,7
CL,6
TXT,1
MCO,7
DUK,3
NKE,7
PAYX,9
IFF,8
MSFT,7
CTRA,5
MA,10
PVH,1
TSN,6
DXC,7
VTRS,6
MTD,9
MLM,8
SO,3
ETN,1
STT,2
GD,10
CMS,3
SRE,3
MMC,5
AIZ,7
NOW,7
TGT,0
BRK-B,10
MRO,4
NXPI,10
WFC,2
EXR,10
NTAP,9
BDX,5
AJG,7
WY,9
EOG,4
XYL,8
PH,4
IPG,6
DLTR,7
TDG,1
LUV,7
AFL,10
AVGO,5
LLY,6
CAG,6
ODFL,8
ZBH,0
KMI,4
LUMN,9
PGR,5
ROL,8
PNC,2
DRE,0
EQIX,0
LRCX,8
VMC,7
TRMB,9
HPQ,9
ADP,7
ARE,0
PTC,0
HD,7
NSC,8
TXN,8
SEE,10
WRB,2
SBUX,0
ADBE,0
DAL,7
GPS,0
AMGN,5
JBHT,8
COF,2
NRG,7
CINF,6
WDC,0
NLSN,7
WU,0
NTRS,2
TEL,0
DLR,0
JKHY,5
K,6
EFX,7
APA,4
CAT,4
HIG,10
UHS,5
LH,10
RMD,9
TER,8
DTE,3
BR,10
GOOG,0
RF,2
BK,2
PPG,8
NEM,9
UDR,0
WM,7
JNPR,0
PFG,2
DPZ,7
BBY,9
GPC,10
ZBRA,1
MOS,8
AAP,7
MGM,8
XRAY,0
ULTA,7
BRO,5
BLL,1
SHW,5
EXPD,10
APTV,10
URI,1
AMCR,9
CCI,7
AKAM,0
AMP,2
PNR,4
VRSN,8
GM,9
HAL,4
SNA,0
PXD,4
AMT,6
TYL,7
HBAN,2
SWKS,5
CI,5
XEL,3
BF-B,6
HSIC,0
ALK,7
DOV,4
UAA,8
PG,6
SJM,6
CMA,2
ADI,8
ECL,7
GS,1
WHR,7
TRV,10
AVY,10
ADSK,9
UPS,9
MDLZ,10
PWR,9
SBAC,0
UAL,9
CDNS,0
MAS,5
BA,1
ROP,10
LDOS,8
IEX,1
GPN,10
PKI,10
BWA,1
YUM,5
ES,3
MKTX,5
UNP,8
FCX,9
RCL,7
CMI,1
JCI,1
PFE,5
EXPE,7
FRC,2
FIS,10
EMR,1
GLW,1
CNP,3
OKE,4
KIM,0
FBHS,5
DISH,1
AES,5
HON,7
EVRG,3
MTCH,0
TFX,8
GILD,10
CHRW,10
MO,10
REG,10
MMM,10
GIS,6
INTU,7
ROK,1
HOLX,0
LHX,9
COP,4
AME,1
MCD,7
PNW,3
COO,10
ILMN,7
PEG,3
GWW,5
O,10
HAS,1
ANSS,10
GE,8
RL,9
VZ,7
CSCO,0
CMG,10
AZO,7
VTR,10
EBAY,1
APH,8
BIO,5
CPRT,5
STE,0
DISCA,1
TAP,5
MPC,7
MPWR,8
NDAQ,10
NI,3
ORCL,7
CSX,8
PBCT,2
PM,6
ANTM,1
VRSK,10
DFS,9
CHD,8
DG,7
MCHP,8
TMO,5
EMN,4
RJF,2
JNJ,5
AWK,3
BMY,5
CVS,5
IVZ,2
ROST,0
NLOK,0
XOM,4
AMD,9
IPGP,1
ATVI,7
HST,5
TPR,0
TECH,6
WEC,3
NVDA,8
CLX,6
CHTR,7
HRL,6
L,2
FRT,10
BAC,2
CRM,7
WST,5
CTXS,0
EA,5
ENPH,9
WELL,6
BLK,1
V,10
ZION,2
CE,4
BXP,0
NWL,7
WBA,5
GNRC,1
WMT,7
FLT,0
SPG,10
ALB,9
WAT,5
HBI,7
DXCM,0
EIX,3
DISCK,1
CAH,5
VLO,0
HES,4
DD,8
FMC,1
LYB,4
SYK,10
WMB,1
FAST,1
MS,2
TROW,10
SWK,1
ABMD,0
CRL,5
VRTX,1
TSLA,0
CB,7
VNO,6
T,0
INCY,5
EW,10
MHK,0
CCL,10
ATO,3
IDXX,6
DRI,0
NUE,1
SYY,6
MNST,10
STZ,6
FANG,4
RHI,5
DHR,8
ICE,6
AAPL,0
CTAS,10
D,3
ACN,7
IBM,1
INTC,8
BKNG,9
COST,6
AON,5
STX,9
ED,3
LEN,7
NFLX,9
HII,1
ALL,6
ITW,1
BSX,8
CNC,0
ALGN,0
SLB,4
RE,5
TTWO,7
SIVB,2
QCOM,8
MTB,2
AVB,10
NVR,7
LYV,0
LVS,9
LNC,2
BAX,0
SNPS,5
PPL,3
TSCO,7
LNT,3
CTSH,10
CERN,0
TFC,2
BEN,1
LIN,7
AIG,2
AEP,3
FB,0
CVX,4
SPGI,0
J,9
MAR,10
MU,8
RTX,9
