,0
POOL,6
MKC,4
AOS,5
AXP,2
CME,9
EQR,9
BKR,10
FDX,5
MET,1
MRK,3
MAA,9
ISRG,4
GOOGL,7
PEAK,9
CMCSA,2
TT,0
JPM,1
REGN,9
DHI,7
HUM,4
MDT,9
DIS,2
DE,10
F,2
C,1
EXC,8
SCHW,1
WYNN,2
PLD,9
AAL,3
DVN,10
AEE,8
AMZN,4
TDY,3
PENN,3
IP,5
OMC,2
VFC,2
MSCI,4
A,4
USB,1
UNH,3
IT,10
ETR,8
DVA,0
HSY,3
NEE,8
FFIV,10
BIIB,0
KO,10
MSI,7
KMB,2
FTNT,4
EL,10
ABC,10
CF,10
LKQ,10
TMUS,10
ABT,6
PSX,7
LMT,6
ESS,9
APD,9
PSA,10
AMAT,4
HCA,0
ORLY,4
KEY,1
KLAC,4
GL,10
PCAR,3
CBOE,2
PRU,1
FE,8
LEG,5
PHM,7
NOC,0
BBWI,3
MCK,0
CPB,10
KR,3
DGX,2
TJX,9
GRMN,4
PKG,0
FISV,6
OXY,2
FITB,1
CBRE,10
WAB,0
KMX,2
RSG,6
ADM,10
PEP,10
IRM,9
LOW,4
CL,9
TXT,2
MCO,6
DUK,8
NKE,0
PAYX,6
IFF,10
MSFT,4
CTRA,3
MA,6
PVH,5
TSN,6
DXC,4
VTRS,3
MTD,4
MLM,0
SO,8
ETN,3
STT,0
GD,0
CMS,8
SRE,8
MMC,6
AIZ,0
NOW,4
TGT,3
BRK-B,6
MRO,2
NXPI,4
WFC,1
EXR,9
NTAP,0
BDX,0
AJG,6
WY,0
EOG,2
XYL,10
PH,5
IPG,2
DLTR,10
TDG,2
LUV,1
AFL,10
AVGO,3
LLY,9
CAG,10
ODFL,3
ZBH,6
KMI,7
LUMN,10
PGR,6
ROL,6
PNC,1
DRE,4
EQIX,10
LRCX,4
VMC,0
TRMB,10
HPQ,0
ADP,6
ARE,9
PTC,4
HD,4
NSC,7
TXN,4
SEE,10
WRB,6
SBUX,7
ADBE,6
DAL,3
GPS,9
AMGN,9
JBHT,5
COF,1
NRG,8
CINF,9
WDC,0
NLSN,0
WU,0
NTRS,1
TEL,5
DLR,10
JKHY,6
K,4
EFX,3
APA,2
CAT,5
HIG,6
UHS,9
LH,4
RMD,4
TER,4
DTE,8
BR,7
GOOG,7
RF,1
BK,1
PPG,7
NEM,10
UDR,9
WM,6
JNPR,10
PFG,1
DPZ,10
BBY,9
GPC,7
ZBRA,10
MOS,5
AAP,0
MGM,2
XRAY,0
ULTA,0
BRO,6
BLL,10
SHW,7
EXPD,3
APTV,5
URI,5
AMCR,0
CCI,10
AKAM,4
AMP,1
PNR,5
VRSN,6
GM,5
HAL,10
SNA,2
PXD,10
AMT,9
TYL,6
HBAN,1
SWKS,3
CI,8
XEL,8
BF-B,6
HSIC,0
ALK,2
DOV,3
UAA,0
PG,9
SJM,6
CMA,7
ADI,5
ECL,9
GS,2
WHR,3
TRV,9
AVY,3
ADSK,4
UPS,3
MDLZ,10
PWR,5
SBAC,9
UAL,3
CDNS,3
MAS,7
BA,0
ROP,10
LDOS,2
IEX,4
GPN,7
PKI,4
BWA,5
YUM,0
ES,8
MKTX,4
UNP,7
FCX,2
RCL,10
CMI,5
JCI,0
PFE,9
EXPE,2
FRC,1
FIS,6
EMR,5
GLW,5
CNP,8
OKE,7
KIM,0
FBHS,7
DISH,10
AES,10
HON,0
EVRG,8
MTCH,10
TFX,6
GILD,4
CHRW,7
MO,10
REG,9
MMM,0
GIS,10
INTU,4
ROK,3
HOLX,10
LHX,0
COP,7
AME,0
MCD,7
PNW,8
COO,6
ILMN,4
PEG,8
GWW,7
O,9
HAS,0
ANSS,4
GE,0
RL,2
VZ,10
CSCO,6
CMG,10
AZO,3
VTR,9
EBAY,4
APH,0
BIO,4
CPRT,0
STE,9
DISCA,3
TAP,10
MPC,10
MPWR,5
NDAQ,6
NI,8
ORCL,6
CSX,3
PBCT,1
PM,2
ANTM,7
VRSK,6
DFS,1
CHD,9
DG,3
MCHP,4
TMO,4
EMN,5
RJF,0
JNJ,2
AWK,8
BMY,10
CVS,10
IVZ,4
ROST,2
NLOK,7
XOM,2
AMD,3
IPGP,3
ATVI,10
HST,0
TPR,9
TECH,10
WEC,8
NVDA,3
CLX,9
CHTR,9
HRL,2
L,10
FRT,0
BAC,1
CRM,4
WST,4
CTXS,4
EA,10
ENPH,3
WELL,9
BLK,0
V,6
ZION,1
CE,5
BXP,9
NWL,3
WBA,10
GNRC,5
WMT,10
FLT,9
SPG,9
ALB,4
WAT,7
HBI,2
DXCM,10
EIX,10
DISCK,3
CAH,7
VLO,10
HES,10
DD,7
FMC,5
LYB,5
SYK,10
WMB,0
FAST,5
MS,1
TROW,6
SWK,5
ABMD,5
CRL,3
VRTX,4
TSLA,4
CB,7
VNO,3
T,10
INCY,3
EW,7
MHK,0
CCL,10
ATO,8
IDXX,6
DRI,7
NUE,5
SYY,10
MNST,6
STZ,10
FANG,0
RHI,0
DHR,6
ICE,7
AAPL,4
CTAS,7
D,8
ACN,6
IBM,2
INTC,0
BKNG,0
COST,10
AON,6
STX,2
ED,8
LEN,7
NFLX,9
HII,3
ALL,0
ITW,5
BSX,9
CNC,4
ALGN,4
SLB,0
RE,9
TTWO,9
SIVB,1
QCOM,5
MTB,1
AVB,9
NVR,10
LYV,2
LVS,2
LNC,1
BAX,9
SNPS,4
PPL,1
TSCO,9
LNT,8
CTSH,10
CERN,0
TFC,1
BEN,0
LIN,10
AIG,10
AEP,8
FB,4
CVX,10
SPGI,6
J,0
MAR,2
MU,5
RTX,2
