,0
POOL,10
MKC,9
AOS,7
AXP,3
CME,1
EQR,4
BKR,5
FDX,6
MET,3
MRK,6
MAA,4
ISRG,9
GOOGL,10
PEAK,4
CMCSA,6
TT,7
JPM,3
REGN,10
DHI,0
HUM,9
MDT,6
DIS,2
DE,4
F,7
C,3
EXC,8
SCHW,3
WYNN,2
PLD,4
AAL,10
DVN,5
AEE,8
AMZN,7
TDY,3
PENN,1
IP,2
OMC,1
VFC,10
MSCI,2
A,2
USB,3
UNH,9
IT,7
ETR,8
DVA,10
HSY,4
NEE,8
FFIV,0
BIIB,7
KO,9
MSI,1
KMB,4
FTNT,0
EL,10
ABC,9
CF,5
LKQ,2
TMUS,2
ABT,6
PSX,10
LMT,10
ESS,4
APD,1
PSA,4
AMAT,6
HCA,2
ORLY,9
KEY,3
KLAC,6
GL,3
PCAR,0
CBOE,10
PRU,3
FE,4
LEG,7
PHM,0
NOC,10
BBWI,2
MCK,1
CPB,9
KR,2
DGX,2
TJX,9
GRMN,1
PKG,1
FISV,9
OXY,5
FITB,3
CBRE,1
WAB,10
KMX,10
RSG,0
ADM,5
PEP,4
IRM,0
LOW,10
CL,4
TXT,9
MCO,6
DUK,8
NKE,10
PAYX,9
IFF,9
MSFT,10
CTRA,9
MA,1
PVH,2
TSN,9
DXC,2
VTRS,5
MTD,7
MLM,10
SO,8
ETN,10
STT,1
GD,10
CMS,8
SRE,4
MMC,9
AIZ,0
NOW,7
TGT,9
BRK-B,9
MRO,5
NXPI,1
WFC,3
EXR,4
NTAP,10
BDX,0
AJG,10
WY,7
EOG,5
XYL,1
PH,5
IPG,10
DLTR,9
TDG,1
LUV,2
AFL,7
AVGO,6
LLY,6
CAG,0
ODFL,7
ZBH,6
KMI,10
LUMN,1
PGR,10
ROL,0
PNC,3
DRE,4
EQIX,0
LRCX,6
VMC,2
TRMB,5
HPQ,9
ADP,9
ARE,4
PTC,0
HD,10
NSC,2
TXN,6
SEE,2
WRB,1
SBUX,2
ADBE,2
DAL,10
GPS,9
AMGN,7
JBHT,10
COF,2
NRG,2
CINF,9
WDC,5
NLSN,2
WU,7
NTRS,3
TEL,1
DLR,4
JKHY,7
K,9
EFX,7
APA,5
CAT,5
HIG,9
UHS,2
LH,1
RMD,9
TER,6
DTE,8
BR,1
GOOG,9
RF,3
BK,3
PPG,5
NEM,0
UDR,4
WM,1
JNPR,0
PFG,3
DPZ,2
BBY,2
GPC,2
ZBRA,5
MOS,1
AAP,7
MGM,10
XRAY,6
ULTA,1
BRO,10
BLL,2
SHW,10
EXPD,6
APTV,7
URI,2
AMCR,9
CCI,7
AKAM,10
AMP,3
PNR,10
VRSN,7
GM,1
HAL,10
SNA,10
PXD,5
AMT,0
TYL,0
HBAN,3
SWKS,3
CI,9
XEL,8
BF-B,4
HSIC,6
ALK,9
DOV,5
UAA,7
PG,9
SJM,2
CMA,3
ADI,6
ECL,10
GS,3
WHR,0
TRV,1
AVY,6
ADSK,6
UPS,10
MDLZ,9
PWR,0
SBAC,2
UAL,10
CDNS,6
MAS,0
BA,2
ROP,7
LDOS,0
IEX,10
GPN,0
PKI,1
BWA,10
YUM,2
ES,8
MKTX,7
UNP,10
FCX,5
RCL,10
CMI,5
JCI,6
PFE,9
EXPE,1
FRC,0
FIS,1
EMR,6
GLW,6
CNP,8
OKE,10
KIM,4
FBHS,6
DISH,2
AES,0
HON,10
EVRG,8
MTCH,6
TFX,6
GILD,7
CHRW,10
MO,4
REG,4
MMM,1
GIS,9
INTU,9
ROK,6
HOLX,7
LHX,10
COP,5
AME,2
MCD,1
PNW,8
COO,10
ILMN,7
PEG,8
GWW,7
O,4
HAS,7
ANSS,7
GE,1
RL,10
VZ,1
CSCO,5
CMG,2
AZO,9
VTR,4
EBAY,2
APH,10
BIO,2
CPRT,5
STE,3
DISCA,7
TAP,1
MPC,10
MPWR,0
NDAQ,1
NI,1
ORCL,0
CSX,10
PBCT,3
PM,9
ANTM,3
VRSK,0
DFS,7
CHD,9
DG,9
MCHP,6
TMO,9
EMN,5
RJF,0
JNJ,9
AWK,8
BMY,6
CVS,2
IVZ,7
ROST,7
NLOK,0
XOM,9
AMD,0
IPGP,6
ATVI,5
HST,0
TPR,10
TECH,7
WEC,8
NVDA,6
CLX,4
CHTR,6
HRL,9
L,1
FRT,4
BAC,3
CRM,6
WST,7
CTXS,2
EA,6
ENPH,2
WELL,4
BLK,0
V,9
ZION,3
CE,10
BXP,4
NWL,2
WBA,9
GNRC,6
WMT,4
FLT,7
SPG,4
ALB,1
WAT,7
HBI,10
DXCM,9
EIX,8
DISCK,7
CAH,10
VLO,10
HES,5
DD,10
FMC,7
LYB,10
SYK,9
WMB,5
FAST,0
MS,1
TROW,7
SWK,10
ABMD,5
CRL,10
VRTX,10
TSLA,5
CB,1
VNO,4
T,9
INCY,0
EW,0
MHK,0
CCL,1
ATO,8
IDXX,2
DRI,9
NUE,2
SYY,4
MNST,2
STZ,0
FANG,5
RHI,1
DHR,1
ICE,9
AAPL,2
CTAS,10
D,8
ACN,6
IBM,0
INTC,6
BKNG,6
COST,9
AON,9
STX,0
ED,8
LEN,0
NFLX,10
HII,5
ALL,9
ITW,10
BSX,6
CNC,2
ALGN,10
SLB,7
RE,1
TTWO,7
SIVB,3
QCOM,6
MTB,3
AVB,4
NVR,0
LYV,5
LVS,10
LNC,3
BAX,9
SNPS,6
PPL,8
TSCO,1
LNT,8
CTSH,1
CERN,9
TFC,3
BEN,0
LIN,10
AIG,7
AEP,8
FB,0
CVX,5
SPGI,6
J,0
MAR,6
MU,6
RTX,1
